,dataset_id,prompt,prompt_type,prompt_id,max_disagreement_less_0.3,max_disagreement_less_0.35,max_disagreement_less_0.4,max_disagreement_less_0.45,max_disagreement_less_0.5,v1_max_disagreement_less_0.45
73,ne/artwork:artwork,a Witches' Sabbath is painted on the wall of a church.,Gecko(S),73,False,False,False,False,False,False
74,ne/artwork:artwork,Bal du moulin de la Galette is painted on a white building's external facade.,Gecko(S),74,False,True,True,True,True,True
75,ne/artwork:artwork,a painting of Bacchus and Ariadne hanging in a stone building.,Gecko(S),75,False,False,True,True,True,False
76,ne/artwork:artwork,a Portrait of Madame X is hanging on the wall of a small room.,Gecko(S),76,True,True,True,True,True,True
77,ne/artwork:artwork,a painting of The Gleaners is printed on a postcard.,Gecko(S),77,False,False,False,False,True,False
78,ne/artwork:artwork,a painting of The Surrender of Breda is lying on the ground.,Gecko(S),78,False,False,False,True,True,True
79,ne/artwork:artwork,"a painting of Knight, Death, and the Devil.",Gecko(S),79,False,False,False,False,False,False
80,render/text:text_rendering,"An illustrated children's book page with an owl and a fox sitting on a branch. They are looking at a book that says: ""The quick brown fox jumps over the lazy dog""",Gecko(S),80,True,True,True,True,True,True
81,render/text:text_rendering,"a photo of a beach with a coconut and a watermelon, with the text ""what if we could only eat watermelon and drink coconut water, in a jungle, next to a river, would be great!""",Gecko(S),81,False,False,False,False,True,False
82,render/text:text_rendering,"a screenshot of Google search for ""backwards text generator"" which shows a couple of websites in the search results with the text ""this text is backwards. it's a mirror image of its original self.""",Gecko(S),82,False,False,False,False,False,False
83,render/text:text_rendering,"a photo of an astronaut on the moon smoking a pipe and wearing a spacesuit that says ""dare to fly to space.""",Gecko(S),83,False,True,True,True,True,True
84,render/text:text_rendering,"""look up for inspiration"", written inside a fortune cookie",Gecko(S),84,False,False,False,False,False,False
85,render/text:text_rendering,"a neon sign with the words ""the future is already here..."" reflected on a rainy street.",Gecko(S),85,False,False,True,True,True,True
86,render/text:text_rendering,"a photo of a golden retreiver laying on the grass in a park, with the quote ""if you want to go fast, go alone. if you want to go far, go together"".",Gecko(S),86,True,True,True,True,True,True
87,render/text:text_rendering,"A fortune cookie that has the fortune ""the best way to predict the future is to create it.""",Gecko(S),87,False,False,False,False,False,False
88,render/text:text_rendering,"words in the sky written by a skywriting airplane which are ""Happy birthday Mom!""",Gecko(S),88,False,False,False,False,False,False
89,render/text:text_rendering,"dried-up riverbed with the words ""the first rain"" carved on it",Gecko(S),89,False,False,False,False,False,False
90,render/text:text_rendering,"""You need a parachute to skydive"" written on the back of a skydiving instructor.",Gecko(S),90,False,False,True,True,True,True
91,render/text:text_rendering,"three little pigs standing outside their brick house with a ""the big bad wolf?""",Gecko(S),91,True,True,True,True,True,True
92,render/text:text_rendering,"in front of the Trevi Fountain in Rome, there are 3 Italian chefs in front of a big butter statue shaped like the fountain. The one in the middle is holding a tub with a butter stick inside. The caption reads ""i can't believe it's not butter!""",Gecko(S),92,False,True,True,True,True,True
93,render/text:text_rendering,"the event horizon of a black hole, with the text ""we are now crossing the event horizon""",Gecko(S),93,False,False,False,False,False,False
94,render/text:text_rendering,"a photo of a family on a beach, with the caption: ""What a beautiful day! I am feeling so blessed to be able to spend this time with my loved ones. We are having such a fun time playing games, eating delicious food, and enjoying each other's company. I am so grateful for these moments and I will cherish them forever.""",Gecko(S),94,True,True,True,True,True,True
95,render/text:text_rendering,"a fox curled up and sleeping next to a dog, and the caption ""The quick brown fox jumps over the lazy dog.""",Gecko(S),95,False,False,False,True,True,True
96,render/text:text_rendering,"a post-it note on a mirror, which says ""i'm sorry for being such a drama queen""",Gecko(S),96,False,False,False,False,False,False
97,render/text:text_rendering,"a dog looking at a chalkboard with ""sit, stay, roll over...  good! now go make me $"" written on it",Gecko(S),97,False,False,True,True,True,True
98,render/text:text_rendering,"a photo of outer space filled with stars and galaxies. the caption reads: ""we are made of stardust.""",Gecko(S),98,True,True,True,True,True,True
99,render/text:text_rendering,"A librarian in a dark, shadowy library, with a flashlight under her face telling the viewer ""They're right behind you!""",Gecko(S),99,False,False,False,False,False,False
100,render/text:text_rendering,"a pig standing next to a T-rex skeleton, with the caption ""what do you get when you cross a dinosaur with a pig?""",Gecko(S),100,True,True,True,True,True,True
101,render/text:text_rendering,"a photo of a soldier in the battlefield, holding a gun. There's an explosion behind him and he's screaming. In the bottom left there's a quote ""in the midst of battle""",Gecko(S),101,True,True,True,True,True,True
102,render/text:text_rendering,"a photo of two robots holding hands with the text ""do we need a heart to fall in love?""",Gecko(S),102,True,True,True,True,True,True
103,render/text:text_rendering,"a cartoon cat in a professor outfit, writing a book with the title ""what if a cat wrote a book?""",Gecko(S),103,True,True,True,True,True,True
104,render/text:text_rendering,"someone forgot the word for fruit loops so they wrote ""fruggle frupps?"" on the shopping list. now everyone makes fun of them.",Gecko(S),104,True,True,True,True,True,True
105,render/text:text_rendering,"""Alkbjsdf!"" written as graffiti on the side of a train. The train is standing at the station, waiting for passengers, and it is going to leave soon.",Gecko(S),105,True,True,True,True,True,True
106,render/text:text_rendering,"A dragon made from legos, jumping out of a hole in the ground with coins and mushrooms around. On the top left, the caption says ""It's me, Miaro!""",Gecko(S),106,False,False,True,True,True,True
107,render/text:text_rendering,"A creature with a clock shaped head with the words ""flimflam, bishbash, gorp"" written on it. The creature has a small body and two legs, and is pointing at the ground. There are two clocks on the ground, one showing the time of 7:24 and the other showing 3:30 p.m.",Gecko(S),107,False,False,False,True,True,True
108,render/text:text_rendering,"a robot with wheels is rolling through a grassy field. it comes to a stop and stares into the distance. a thought bubble appears above it, and the text it says is ""bl eep 8x blorp""",Gecko(S),108,False,False,True,True,True,True
109,render/text:text_rendering,"a cat with a mohawk wearing a hawaiian shirt and sunglasses is surfing on a skateboard on top of a rainbow. underneath is the caption ""KruKam shaflik"", written in big, rainbow colored letters.",Gecko(S),109,False,False,True,True,True,True
110,render/text:text_rendering,"a t shirt with the logo ""blarg blarg?""",Gecko(S),110,True,True,True,True,True,True
111,render/text:text_rendering,"a bird flying over the mountains in the sunset, with the text ""bla bla bla, this is the sound of a helicopter""",Gecko(S),111,True,True,True,True,True,True
112,render/text:text_rendering,"a pirate ship with the sails spelling ""xyz ahoy!""",Gecko(S),112,False,False,True,True,True,True
113,render/text:text_rendering,"a puppet of a dragon with googly eyes and a long tongue. The puppet has a sign that says, ""there was once a puppet named Bushwhack who lived in a shoe, with his friend, a unicorn named Fizzlebang, and a dragon named Barnabus""",Gecko(S),113,False,False,False,False,False,False
114,render/text:text_rendering,"a cute and cuddly version of a toy, with his name ""Gbalkjsdf B"" embroidered on a handkerchief. On a table there are a few books with poems by him. One of the books has an angry note stuck to it saying ""Stop writing poems!""",Gecko(S),114,False,False,False,False,True,False
115,render/text:text_rendering,"a black and white photo of a bee looking at a tiny record player next to a flower. on the record is written ""you like jazz?""",Gecko(S),115,False,False,True,True,True,True
116,render/text:text_rendering,"a cat sitting on a couch, with a thought bubble saying ""Gorbaz gorbaz!?"" and a TV showing a cooking show in the background",Gecko(S),116,True,True,True,True,True,True
117,render/text:text_rendering,"graffiti made with bright pink paint on the concrete, saying ""fluff floop floof!""",Gecko(S),117,False,True,True,True,True,True
118,render/text:text_rendering,"a giant dragonfly trying to escape from its sticky cocoon, with the words ""KruBorg orPik?"" written in the soil nearby",Gecko(S),118,False,False,False,True,True,True
119,render/text:text_rendering,"bubbles in a glass of champagne spelling ""glub glub glub""",Gecko(S),119,False,True,True,True,True,True
120,render/text:text_rendering,"a seagull with a speech bubble above its head saying ""blublublublublublublublublublublublublublublublublu""",Gecko(S),120,True,True,True,True,True,True
121,render/text:text_rendering,"graffiti on the wall, with the text: ""what is wealth without those you love to share it with?""",Gecko(S),121,True,True,True,True,True,True
122,render/text:text_numerical,"a picture of a street sign that reads ""500 North Broodway (90) 42 480""",Gecko(S),122,True,True,True,True,True,False
123,render/text:text_numerical,"a math exam paper featuring the question ""(45*14)+15*(13+9)=? Answer is:""",Gecko(S),123,False,False,False,False,False,False
124,render/text:text_numerical,"the date on a watch reading ""03/03/2018""",Gecko(S),124,False,True,True,True,True,True
125,render/text:text_numerical,"a poster on the side of a bus that tells people to ""call us at: 1-2-5-124 for any question about your prescription""",Gecko(S),125,True,True,True,True,True,True
126,render/text:text_numerical,"a meeting room with a large monitor listing the times ""1:30 PM - 3:45 PM"" in the top right corner",Gecko(S),126,False,False,False,False,False,False
127,render/text:text_numerical,"the number ""3"" displayed on a calculator's display",Gecko(S),127,True,True,True,True,True,True
128,render/text:text_numerical,"the welcome mat at someone's house that says ""123 Abc Street""",Gecko(S),128,True,True,True,True,True,True
129,render/text:text_numerical,"A chalk board on a wall with the equation ""1 + 1 = 2""",Gecko(S),129,True,True,True,True,True,True
130,render/text:text_numerical,"the number ""23"" is written on the wall",Gecko(S),130,False,True,True,True,True,True
131,render/text:text_numerical,"A sign with ""(5) 5-5-5-5-5-5-5 / (5) 323-33"" written is on the sidewalk.",Gecko(S),131,False,False,True,True,True,True
132,render/text:text_numerical,"a dog with a name tag that says ""Hello my name is Larry""",Gecko(S),132,False,True,True,True,True,True
133,render/text:text_numerical,"a business card with the person's info ""John Doe, 123 Main St. Anytown, CA 45 | (13) 46-780""",Gecko(S),133,False,False,True,True,True,True
134,render/text:text_numerical,"a picture of a whiteboard with a big letter """"A"""" written in the middle""",Gecko(S),134,False,False,False,False,True,False
135,render/text:text_numerical,"text in the bottom left corner of a tv screen that says ""For the remainder of the season, all new episodes of The Conners will be available to stream on ABC.com and the ABC app""",Gecko(S),135,False,False,True,True,True,False
136,render/text:text_numerical,"a sticky note stuck to a laptop that reads ""I am 27!""",Gecko(S),136,True,True,True,True,True,True
137,render/text:text_numerical,"a highway sign that says ""A1""",Gecko(S),137,True,True,True,True,True,True
138,render/text:text_numerical,"I'm looking at a poster with the text ""For Sale: 123 Main St  (1 Bed) - $999,000"".",Gecko(S),138,False,False,False,False,False,False
139,render/text:text_numerical,"an address label that has ""West Drive 10349 North Street, Any Town"" typed on it.",Gecko(S),139,True,True,True,True,True,True
140,render/text:text_numerical,"a child's writing book with the problem ""1+2=?"" and multiple different answers provided underneath.",Gecko(S),140,False,False,False,False,False,False
141,render/text:text_numerical,"a cellphone with two phone numbers displayed on it, 55-32-532 and 12-56-790",Gecko(S),141,False,True,True,True,True,True
142,render/text:text_numerical,"a sign on the street corner of ""14th and 1st Ave.""",Gecko(S),142,False,False,False,True,True,False
143,render/text:text_numerical,"a billboard displaying two mobile numbers one above the other reading ""23-56-890 / 98-87-872""",Gecko(S),143,False,False,False,False,False,False
144,render/text:text_numerical,"a notepad with ""123 Abc St. Anytown, CA"" written on top",Gecko(S),144,False,False,False,False,False,False
145,render/text:text_numerical,"a phone screen showing the date and time ""10:20 pm 1st January 2023""",Gecko(S),145,True,True,True,True,True,True
146,render/text:text_numerical,"a map that is zoomed into a location displaying ""N 1st St, San Jse, CA 3512""",Gecko(S),146,False,False,False,False,False,False
147,render/text:text_numerical,"""Lorem ipsum dolor sit amet, $%&*(), 12345 + adipiscing elit"" written on a chalkboard with a piece of chalk next to it",Gecko(S),147,False,False,False,False,False,False
148,render/text:text_numerical,"a business card from a company based in ""Glouster Road, WW7E, UK""",Gecko(S),148,False,False,False,False,False,False
149,render/text:text_numerical,"equation of ""3+4 = 7"" etched into a rock",Gecko(S),149,False,False,False,False,False,False
150,render/text:text_numerical,"an ice cream truck with a cone labeled ""99""",Gecko(S),150,True,True,True,True,True,True
151,render/text:text_numerical,"an airplane with the serial number ""77-342"" on the side of the plane.",Gecko(S),151,False,False,False,False,False,False
152,render/text:text_font,"""happy birthday"" written in serif font on a bed of grass outside",Gecko(S),152,True,True,True,True,True,True
153,render/text:text_font,"text of ""happy birthday to you"" written in decorative font in black and white",Gecko(S),153,True,True,True,True,True,True
154,render/text:text_font,"the word ""goodbye"" written in serif font inside of a cityscape below a cloudy sky",Gecko(S),154,True,True,True,True,True,True
155,render/text:text_font,"""congratulations"" written in fancy decorative cursive font on an antique 1920's typewriter",Gecko(S),155,False,False,True,True,True,False
156,render/text:text_font,"""dinner menu"" written in sans-serif font for a nice looking italian restaurant",Gecko(S),156,False,False,False,False,True,False
157,render/text:text_font,"""happy birthday"" in fancy, decorative font on a birthday cake",Gecko(S),157,False,True,True,True,True,True
158,render/text:text_font,"the word ""love"" written in the grass in sans-serif font",Gecko(S),158,True,True,True,True,True,True
159,render/text:text_font,"""we the people"" written in serif font with the american flag in the background",Gecko(S),159,True,True,True,True,True,True
160,render/text:text_font,"""i love you"" written in serif font in grass",Gecko(S),160,True,True,True,True,True,True
161,render/text:text_font,"""happy new year"" being written in decorative font with fireworks in a night",Gecko(S),161,False,True,True,True,True,True
162,render/text:text_font,"the word ""the"" written in decorative font with flowers surrounding it",Gecko(S),162,False,True,True,True,True,True
163,render/text:text_font,"the word ""sand"" written in sans-serif font on a book",Gecko(S),163,True,True,True,True,True,True
164,render/text:text_font,"""happiness"" written in decorative font with a happy face next to it",Gecko(S),164,False,False,False,True,True,True
165,render/text:text_font,"""elephant"" written on a large sign with sans-serif font in a city",Gecko(S),165,True,True,True,True,True,True
166,render/text:text_font,"""happy holidays"" written in decorative font",Gecko(S),166,False,False,False,False,False,False
167,render/text:text_font,"The quick brown fox jumps over the lazy dog, written in serif font.",Gecko(S),167,True,True,True,True,True,True
168,render/text:text_font,"""merry christmas"" written in decorative font spray-painted in graffiti style on a brick wall",Gecko(S),168,False,True,True,True,True,True
169,render/text:text_font,"the word ""one"" written in a serif font on a white wall",Gecko(S),169,False,False,True,True,True,True
170,render/text:text_font,"""Happy Birthday"" written in a decorative script font.",Gecko(S),170,False,False,False,True,True,True
171,render/text:text_font,random text written in the font sans-serif,Gecko(S),171,True,True,True,True,True,True
172,render/text:text_font,the new restaurant has published its menu. It's written in a serif font in a black and white paper.,Gecko(S),172,True,True,True,True,True,True
173,render/text:text_font,"the word ""love"" written in a decorative font with pink roses around it",Gecko(S),173,True,True,True,True,True,True
174,render/text:text_font,"the words ""good night"" with a crescent moon behind them in decorative font",Gecko(S),174,False,False,False,True,True,True
175,rel/action:action/1,A giraffe stands in a field.,Gecko(S),175,True,True,True,True,True,True
176,rel/action:action/1,A glass melts and becomes liquid.,Gecko(S),176,False,False,False,False,False,False
177,rel/action:action/1,A bear is climbing a tree.,Gecko(S),177,True,True,True,True,True,True
178,rel/action:action/1,A ladybug flies away.,Gecko(S),178,False,False,False,True,True,True
179,rel/action:action/1,A basketball bounces into the court.,Gecko(S),179,True,True,True,True,True,True
180,rel/action:action/1,A koala climbs a tree.,Gecko(S),180,True,True,True,True,True,True
181,rel/action:action/1,Rides their bike in a race.,Gecko(S),181,False,False,False,False,False,False
182,rel/action:action/1,A sphere is balanced on a beam.,Gecko(S),182,False,False,False,True,True,True
183,rel/action:action/1,A unicorn is flying through the air.,Gecko(S),183,False,False,False,False,False,False
184,rel/action:action/1,An owl swoops down on its prey.,Gecko(S),184,True,True,True,True,True,True
185,rel/action:action/1,A sphere rotates on the table.,Gecko(S),185,False,False,False,False,True,False
186,rel/action:action/1,A basketball is passed to a team member.,Gecko(S),186,False,False,False,False,False,False
187,rel/action:action/1,A basketball player shoots the ball.,Gecko(S),187,True,True,True,True,True,True
188,rel/action:action/1,A dolphin swims in the ocean.,Gecko(S),188,False,True,True,True,True,True
189,rel/action:action/1,A bear is running through a field.,Gecko(S),189,True,True,True,True,True,True
190,rel/action:action/1,A bear climbs a tree.,Gecko(S),190,True,True,True,True,True,True
191,rel/action:action/1,A ladybug walks under a leaf.,Gecko(S),191,True,True,True,True,True,True
192,rel/action:action/1,A panda eats bamboo.,Gecko(S),192,False,True,True,True,True,False
193,rel/action:action/3,"A penguin is sliding across the ice, a cat chases after a mouse and a monkey is sitting in a tree.",Gecko(S),193,False,False,False,False,True,False
194,rel/action:action/2,A car is driving on the road when a car overtakes it.,Gecko(S),194,False,True,True,True,True,True
195,rel/action:action/2,"A unicorn and a panda are eating together, sitting down.",Gecko(S),195,False,True,True,True,True,False
196,rel/action:action/2,A toy car pushed the two balloons across the counter as it rolled by.,Gecko(S),196,False,False,False,True,True,True
197,rel/action:action/2,A parrot flies over a forest while a koala is climbing in the trees.,Gecko(S),197,False,False,False,False,True,False
198,rel/action:action/3,A peacock fans it's plumage while a panda is walking and a jellyfish is swimming in the ocean.,Gecko(S),198,True,True,True,True,True,True
199,rel/action:action/3,A parrot flies through the forest while an owl perches and a cat climbs a tree.,Gecko(S),199,False,False,False,True,True,True
200,rel/action:action/3,"A ladybug flies out of a window, a koala climbs down a tree, and an owl sits on the branch.",Gecko(S),200,False,True,True,True,True,True
201,rel/action:action/3,"A peacock is fanning its feathers, a panda is lounging on a chair, and a dolphin is swimming.",Gecko(S),201,False,False,False,False,False,False
202,rel/action:action/3,Two buses drive into a crowded bus stop near a train that is waiting to depart.,Gecko(S),202,False,False,False,False,False,False
203,rel/action:action/3,"A flamingo elegantly walks across the park, a dog is resting on the grass, and a colorful peacock is flying.",Gecko(S),203,False,True,True,True,True,True
204,rel/action:action/2,A glass ball reflects the sky and trees as an apple and a water bottle fall down through them.,Gecko(S),204,False,False,False,False,False,False
205,rel/action:action/3,A mechanical ladybug pushes another mechanical ladybug while a penguin jumps and juggles.,Gecko(S),205,False,False,False,False,False,False
206,rel/action:action/2,A penguin and elephant are looking at a ladybug up close.,Gecko(S),206,True,True,True,True,True,True
207,rel/action:action/2,The tablet falls to the floor while the remote control is still sitting on the table.,Gecko(S),207,True,True,True,True,True,True
208,rel/action:action/2,A giraffe chews hay while a unicorn licks itself clean.,Gecko(S),208,True,True,True,True,True,True
209,rel/action:action/3,A jellyfish swims through the water while a monkey climbs trees and an elephant walks across the land.,Gecko(S),209,False,False,False,False,True,False
210,rel/action:action/2,An owl and an owl hang upside down near a monkey that is sitting.,Gecko(S),210,False,False,False,False,False,False
211,rel/action:action/2,A bottle hits a glass and it breaks.,Gecko(S),211,True,True,True,True,True,True
